,inode,id,datetime,computer_name,source_name,filename_type,filename_security,filename_application,filename_system,filename_rdp,filename_powershell,filename_other,recovered,user_sid,execution_process_id,channel,event_id,audit_account_logon,audit_account_management,audit_detailed_tracking,audit_logon_logoff,audit_ds_access,audit_object_access,audit_policy_change,audit_privilege_usage,audit_system,task,keywords,keywords_audit_failure,keywords_audit_success,keywords_correlation_hint,keywords_event_log_classic,keywords_sqm,keywords_wdi_context,keywords_wdi_diagnostic,timestamp,epochtime,hour,minute
981260,59017,b1c7c4af-b2f5-4da8-953b-12de4a07d577,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981261,59017,94fd8492-d43d-4013-ac42-8cdcaebe4b9d,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981262,59017,9551b9a9-9693-432c-b21a-e11af92e73ff,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981263,59017,cbc08202-4992-4504-ad33-6cf57318f61d,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981264,59017,cf0a27df-6e05-4dc7-9aa1-30c8b3ff38bd,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981265,59017,e6f455a1-9be7-4023-974b-35bf067a05ea,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981274,59017,b540fa9d-2981-484d-831d-f8c4fb27f942,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981275,59030,8d393770-3ce0-4459-8790-e41879c068d2,2010-11-21 03:58:31,37L4247F27-25, Microsoft-Windows-Windows Defender ,Other,0,0,0,0,0,1,0,None,2272,Microsoft-Windows-Windows Defender/WHC,101,0,0,0,0,0,0,0,0,0,0,0x4000000000000000,0,0,1,0,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981276,59017,3bfaabd1-f2fe-4a59-ac7d-a8985e6fa1e0,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981277,59030,0ca80063-f575-4c98-80d8-0f73fde6c3b1,2010-11-21 03:58:31,37L4247F27-25, Microsoft-Windows-Windows Defender ,Other,0,0,0,0,0,1,0,None,2272,Microsoft-Windows-Windows Defender/WHC,101,0,0,0,0,0,0,0,0,0,0,0x4000000000000000,0,0,1,0,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
